"Munic do un.saúde";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";" Total"
"120010 BRASILEIA";"2543";"2040";"1937";"2108";"385";"1108";"1589";"1966";"2014";"1063";"16753"
"120013 BUJARI";"759";"574";"504";"382";"151";"255";"371";"751";"570";"329";"4646"
"120017 CAPIXABA";"538";"610";"453";"437";"231";"275";"361";"396";"391";"204";"3896"
"120020 CRUZEIRO DO SUL";"2715";"2447";"1976";"2245";"1000";"1338";"1990";"3009";"2919";"1707";"21346"
"120025 EPITACIOLANDIA";"909";"1229";"1134";"1145";"335";"925";"970";"1841";"1830";"1145";"11463"
"120030 FEIJO";"1582";"1208";"1376";"1662";"793";"970";"1219";"1408";"1430";"902";"12550"
"120032 JORDAO";"249";"240";"237";"225";"140";"269";"239";"304";"270";"135";"2308"
"120033 MANCIO LIMA";"0";"0";"0";"0";"0";"0";"0";"144";"2";"2";"148"
"120034 MANOEL URBANO";"461";"419";"313";"680";"214";"303";"367";"577";"360";"478";"4172"
"120035 MARECHAL THAUMATURGO";"324";"309";"244";"469";"390";"369";"619";"735";"699";"290";"4448"
"120038 PLACIDO DE CASTRO";"1482";"1421";"1144";"1276";"341";"595";"771";"936";"898";"452";"9316"
"120039 PORTO WALTER";"480";"421";"279";"451";"232";"355";"315";"414";"316";"257";"3520"
"120040 RIO BRANCO";"23630";"23723";"17916";"22237";"7683";"13667";"13242";"26656";"25121";"50564";"224439"
"120042 RODRIGUES ALVES";"272";"676";"752";"777";"235";"57";"267";"269";"742";"111";"4158"
"120043 SANTA ROSA DO PURUS";"132";"105";"97";"53";"92";"35";"39";"28";"16";"6";"603"
"120045 SENADOR GUIOMARD";"874";"1973";"1552";"1914";"681";"1228";"731";"1170";"982";"685";"11790"
"120050 SENA MADUREIRA";"3230";"3465";"3173";"3771";"1153";"1747";"2716";"3096";"2190";"1369";"25910"
"120060 TARAUACA";"1640";"1547";"1540";"1577";"468";"1242";"1458";"3230";"2869";"6111";"21682"
"120070 XAPURI";"538";"990";"727";"925";"176";"536";"609";"944";"664";"603";"6712"
"120080 PORTO ACRE";"591";"691";"402";"676";"384";"282";"358";"1278";"617";"248";"5527"
"130002 ALVARAES";"0";"275";"790";"815";"545";"733";"487";"1560";"991";"1303";"7499"
"130006 AMATURA";"0";"0";"305";"780";"336";"341";"496";"714";"514";"590";"4076"
"130008 ANAMA";"0";"30";"168";"209";"370";"320";"511";"515";"496";"643";"3262"
"130010 ANORI";"0";"235";"760";"606";"617";"1334";"1195";"1069";"1326";"1208";"8350"
"130014 APUI";"0";"0";"441";"614";"364";"754";"1170";"1267";"1310";"1005";"6925"
"130020 ATALAIA DO NORTE";"0";"0";"55";"407";"54";"204";"575";"523";"667";"499";"2984"
"130030 AUTAZES";"0";"0";"763";"1725";"999";"957";"1845";"1988";"2676";"2949";"13902"
"130040 BARCELOS";"0";"0";"347";"481";"250";"590";"711";"1016";"1283";"867";"5545"
"130050 BARREIRINHA";"0";"0";"449";"1355";"1403";"2300";"2883";"3027";"3032";"2900";"17349"
"130060 BENJAMIN CONSTANT";"0";"0";"297";"448";"0";"438";"366";"897";"756";"1179";"4381"
"130063 BERURI";"0";"109";"561";"338";"303";"350";"570";"1710";"868";"1283";"6092"
"130068 BOA VISTA DO RAMOS";"0";"0";"168";"561";"361";"666";"1478";"1440";"1314";"1226";"7214"
"130070 BOCA DO ACRE";"0";"0";"75";"380";"171";"305";"615";"826";"624";"423";"3419"
"130080 BORBA";"0";"621";"2395";"3750";"1599";"1620";"2238";"2840";"3513";"2594";"21170"
"130083 CAAPIRANGA";"0";"114";"249";"201";"196";"449";"450";"658";"883";"760";"3960"
"130090 CANUTAMA";"0";"0";"201";"158";"112";"0";"297";"314";"260";"417";"1759"
"130100 CARAUARI";"0";"74";"1782";"1296";"1215";"1147";"1001";"1752";"1631";"2247";"12145"
"130110 CAREIRO";"0";"0";"558";"910";"383";"522";"1413";"2744";"2230";"2340";"11100"
"130115 CAREIRO DA VARZEA";"0";"0";"302";"883";"191";"663";"1162";"1596";"943";"1328";"7068"
"130120 COARI";"0";"1568";"4727";"2970";"3029";"4167";"5017";"7227";"6964";"5310";"40979"
"130130 CODAJAS";"0";"244";"1840";"618";"538";"1112";"1640";"2264";"3022";"2350";"13628"
"130140 EIRUNEPE";"0";"234";"1611";"1089";"522";"1570";"1590";"2163";"1095";"1808";"11682"
"130150 ENVIRA";"0";"115";"901";"934";"199";"399";"472";"222";"352";"650";"4244"
"130160 FONTE BOA";"0";"0";"184";"272";"94";"303";"348";"647";"608";"814";"3270"
"130165 GUAJARA";"0";"0";"1069";"866";"150";"289";"395";"995";"432";"245";"4441"
"130170 HUMAITA";"0";"0";"0";"0";"0";"0";"1422";"2772";"3773";"3090";"11057"
"130180 IPIXUNA";"0";"0";"0";"0";"0";"106";"1190";"1215";"824";"1522";"4857"
"130185 IRANDUBA";"0";"0";"1396";"3742";"1206";"1463";"2571";"4811";"3628";"3235";"22052"
"130190 ITACOATIARA";"0";"0";"2488";"5350";"2779";"4235";"5556";"8451";"8508";"7670";"45037"
"130195 ITAMARATI";"0";"0";"57";"214";"223";"136";"208";"404";"242";"281";"1765"
"130200 ITAPIRANGA";"0";"0";"301";"404";"0";"263";"362";"422";"442";"452";"2646"
"130210 JAPURA";"0";"0";"253";"209";"100";"191";"161";"366";"297";"346";"1923"
"130220 JURUA";"0";"0";"0";"0";"144";"346";"501";"446";"574";"662";"2673"
"130230 JUTAI";"0";"0";"0";"0";"0";"229";"464";"1022";"1202";"977";"3894"
"130240 LABREA";"0";"0";"667";"2019";"1221";"1887";"3386";"1823";"2496";"2669";"16168"
"130250 MANACAPURU";"0";"261";"4751";"2710";"3065";"4277";"4855";"6753";"7941";"8218";"42831"
"130255 MANAQUIRI";"0";"0";"298";"126";"162";"0";"661";"1368";"1140";"1580";"5335"
"130260 MANAUS";"237";"1952";"2754";"2912";"6828";"91522";"102955";"144341";"134468";"130042";"618011"
"130270 MANICORE";"0";"0";"1149";"1183";"1134";"1414";"3429";"3293";"3567";"2636";"17805"
"130280 MARAA";"0";"218";"753";"414";"258";"716";"1041";"1121";"555";"833";"5909"
"130290 MAUES";"0";"0";"359";"3";"559";"1393";"3822";"3027";"3763";"4319";"17245"
"130300 NHAMUNDA";"0";"0";"571";"443";"674";"784";"1493";"1348";"1271";"982";"7566"
"130310 NOVA OLINDA DO NORTE";"0";"0";"710";"731";"357";"931";"1293";"1707";"1460";"1652";"8841"
"130320 NOVO AIRAO";"0";"42";"783";"290";"242";"388";"683";"625";"605";"817";"4475"
"130330 NOVO ARIPUANA";"0";"0";"296";"793";"607";"575";"869";"1091";"1140";"1055";"6426"
"130340 PARINTINS";"0";"228";"670";"2544";"2120";"1836";"3542";"5990";"4831";"5093";"26854"
"130350 PAUINI";"0";"0";"311";"397";"218";"209";"422";"284";"261";"238";"2340"
"130353 PRESIDENTE FIGUEIREDO";"0";"0";"490";"1376";"269";"1101";"814";"1557";"2364";"1921";"9892"
"130356 RIO PRETO DA EVA";"0";"0";"721";"1089";"679";"1440";"1394";"1378";"2982";"2207";"11890"
"130360 SANTA ISABEL DO RIO NEGRO";"0";"0";"17";"399";"227";"336";"432";"567";"490";"505";"2973"
"130370 SANTO ANTONIO DO ICA";"0";"0";"150";"235";"67";"385";"1270";"2103";"1763";"2005";"7978"
"130380 SAO GABRIEL DA CACHOEIRA";"0";"0";"534";"2911";"938";"2021";"2972";"5134";"4026";"4185";"22721"
"130390 SAO PAULO DE OLIVENCA";"0";"273";"1469";"688";"0";"649";"963";"1102";"1929";"2827";"9900"
"130395 SAO SEBASTIAO DO UATUMA";"0";"0";"100";"39";"0";"143";"252";"954";"846";"932";"3266"
"130400 SILVES";"0";"1";"205";"189";"210";"341";"222";"289";"85";"129";"1671"
"130406 TABATINGA";"0";"0";"857";"1792";"919";"1734";"1425";"2595";"3069";"1893";"14284"
"130410 TAPAUA";"0";"0";"98";"429";"526";"1141";"786";"867";"684";"600";"5131"
"130420 TEFE";"0";"757";"5312";"4717";"3247";"1932";"3244";"4319";"4679";"3907";"32114"
"130423 TONANTINS";"0";"0";"106";"156";"39";"366";"388";"1159";"804";"742";"3760"
"130426 UARINI";"0";"47";"329";"1103";"223";"460";"711";"784";"1224";"1227";"6108"
"130430 URUCARA";"0";"0";"370";"862";"334";"592";"710";"845";"749";"880";"5342"
"130440 URUCURITUBA";"0";"0";"526";"789";"624";"547";"994";"1878";"1169";"1408";"7935"
"140002 AMAJARI";"0";"0";"0";"309";"65";"141";"111";"169";"67";"0";"862"
"140005 ALTO ALEGRE";"0";"0";"0";"492";"141";"214";"197";"391";"96";"0";"1531"
"140010 BOA VISTA";"12855";"12530";"12010";"18402";"8866";"12730";"10358";"11818";"10146";"8287";"118002"
"140015 BONFIM";"0";"0";"0";"0";"0";"675";"634";"1031";"272";"0";"2612"
"140017 CANTA";"0";"0";"0";"143";"162";"349";"350";"713";"96";"0";"1813"
"140020 CARACARAI";"0";"0";"0";"780";"451";"670";"654";"1015";"293";"0";"3863"
"140023 CAROEBE";"0";"0";"0";"239";"282";"400";"259";"455";"268";"0";"1903"
"140028 IRACEMA";"0";"0";"0";"53";"56";"133";"104";"308";"77";"0";"731"
"140030 MUCAJAI";"0";"0";"0";"386";"147";"754";"779";"1863";"339";"0";"4268"
"140040 NORMANDIA";"0";"0";"0";"128";"122";"240";"123";"134";"39";"0";"786"
"140045 PACARAIMA";"0";"0";"0";"158";"156";"277";"201";"265";"117";"0";"1174"
"140047 RORAINOPOLIS";"0";"0";"0";"779";"569";"458";"378";"645";"298";"0";"3127"
"140050 SAO JOAO DA BALIZA";"0";"0";"0";"122";"217";"453";"310";"729";"92";"0";"1923"
"140060 SAO LUIZ";"0";"0";"0";"206";"129";"272";"234";"389";"92";"0";"1322"
"140070 UIRAMUTA";"0";"0";"0";"64";"73";"69";"84";"102";"53";"0";"445"
"150010 ABAETETUBA";"2410";"1464";"3487";"1805";"1078";"2545";"3227";"4293";"5601";"5472";"31382"
"150013 ABEL FIGUEIREDO";"0";"313";"211";"292";"65";"198";"214";"378";"324";"323";"2318"
"150020 ACARA";"0";"46";"698";"1095";"391";"366";"791";"1158";"1100";"977";"6622"
"150030 AFUA";"731";"568";"1894";"1379";"421";"847";"854";"1146";"2158";"1572";"11570"
"150034 AGUA AZUL DO NORTE";"48";"128";"273";"146";"185";"348";"413";"423";"512";"793";"3269"
"150040 ALENQUER";"800";"786";"1447";"1703";"570";"1553";"1758";"2361";"2294";"2293";"15565"
"150050 ALMEIRIM";"87";"49";"522";"0";"20";"634";"834";"736";"1100";"1026";"5008"
"150060 ALTAMIRA";"5887";"6126";"7910";"8837";"3945";"5575";"4895";"6188";"5271";"7204";"61838"
"150070 ANAJAS";"1226";"256";"640";"1059";"1059";"956";"918";"1146";"659";"642";"8561"
"150080 ANANINDEUA";"0";"415";"3527";"4084";"2507";"3672";"1188";"9880";"12844";"10290";"48407"
"150085 ANAPU";"913";"702";"1202";"1789";"594";"1010";"1177";"1330";"1455";"1787";"11959"
"150090 AUGUSTO CORREA";"1440";"1457";"2108";"2913";"1057";"2111";"3584";"4755";"3826";"3824";"27075"
"150095 AURORA DO PARA";"528";"614";"608";"966";"442";"747";"519";"918";"832";"975";"7149"
"150100 AVEIRO";"144";"122";"549";"191";"30";"350";"440";"923";"913";"799";"4461"
"150110 BAGRE";"233";"163";"105";"51";"56";"135";"180";"182";"11";"83";"1199"
"150120 BAIAO";"1415";"170";"1181";"682";"76";"0";"200";"1040";"864";"904";"6532"
"150125 BANNACH";"23";"48";"63";"97";"52";"90";"243";"99";"84";"220";"1019"
"150130 BARCARENA";"6089";"7206";"8690";"10502";"4798";"7795";"9358";"11321";"10670";"9088";"85517"
"150140 BELEM";"3393";"10112";"31588";"38799";"21374";"27849";"27241";"29031";"28462";"24129";"241978"
"150145 BELTERRA";"334";"1320";"1430";"1164";"560";"921";"996";"912";"1649";"1015";"10301"
"150150 BENEVIDES";"320";"1125";"1350";"1424";"1327";"1841";"2348";"3321";"2593";"2475";"18124"
"150157 BOM JESUS DO TOCANTINS";"0";"304";"792";"865";"520";"564";"938";"1032";"1288";"952";"7255"
"150160 BONITO";"527";"482";"399";"399";"141";"193";"190";"295";"131";"215";"2972"
"150170 BRAGANCA";"2572";"1885";"3433";"4145";"3535";"5019";"6143";"6827";"6504";"6102";"46165"
"150172 BRASIL NOVO";"802";"1255";"1077";"1422";"411";"849";"1081";"1512";"1197";"1002";"10608"
"150175 BREJO GRANDE DO ARAGUAIA";"0";"36";"124";"109";"124";"251";"303";"286";"356";"465";"2054"
"150178 BREU BRANCO";"0";"1207";"1438";"1857";"690";"1223";"0";"0";"2060";"1626";"10101"
"150180 BREVES";"981";"2459";"2794";"3499";"1035";"179";"2046";"6138";"7192";"4607";"30930"
"150190 BUJARU";"0";"665";"1703";"1257";"655";"1041";"1030";"1241";"879";"752";"9223"
"150195 CACHOEIRA DO PIRIA";"43";"96";"314";"184";"150";"39";"0";"0";"0";"0";"826"
"150200 CACHOEIRA DO ARARI";"400";"382";"422";"594";"471";"11";"0";"4";"0";"0";"2284"
"150210 CAMETA";"0";"1720";"4806";"3879";"2159";"4486";"7334";"5872";"6040";"5439";"41735"
"150215 CANAA DOS CARAJAS";"1893";"1391";"1151";"2210";"2684";"5013";"6192";"5822";"6544";"7083";"39983"
"150220 CAPANEMA";"1632";"1433";"1216";"1962";"1434";"1627";"1690";"2862";"117";"1294";"15267"
"150230 CAPITAO POCO";"861";"1439";"1572";"1642";"784";"1323";"1181";"1334";"1242";"1312";"12690"
"150240 CASTANHAL";"6924";"8010";"8723";"8477";"2542";"6470";"4364";"8984";"6856";"5914";"67264"
"150250 CHAVES";"0";"0";"0";"32";"0";"0";"0";"0";"0";"0";"32"
"150260 COLARES";"554";"448";"525";"652";"356";"610";"434";"544";"427";"431";"4981"
"150270 CONCEICAO DO ARAGUAIA";"3352";"3792";"3547";"3142";"1431";"2954";"3193";"3151";"3199";"2619";"30380"
"150275 CONCORDIA DO PARA";"0";"514";"509";"416";"213";"249";"226";"505";"566";"696";"3894"
"150276 CUMARU DO NORTE";"56";"224";"141";"224";"96";"48";"536";"440";"329";"325";"2419"
"150277 CURIONOPOLIS";"425";"944";"933";"695";"18";"578";"716";"1933";"1320";"1188";"8750"
"150280 CURRALINHO";"351";"61";"0";"1";"0";"176";"0";"211";"953";"1850";"3603"
"150285 CURUA";"389";"1705";"1160";"814";"551";"672";"973";"831";"1738";"1233";"10066"
"150290 CURUCA";"1534";"1293";"2128";"2018";"881";"1494";"1141";"1133";"1207";"1119";"13948"
"150293 DOM ELISEU";"1091";"943";"981";"1126";"634";"876";"686";"756";"715";"993";"8801"
"150295 ELDORADO DOS CARAJAS";"427";"945";"828";"726";"204";"485";"695";"1091";"817";"1091";"7309"
"150300 FARO";"16";"209";"361";"114";"124";"491";"385";"634";"329";"795";"3458"
"150304 FLORESTA DO ARAGUAIA";"217";"0";"0";"271";"144";"1061";"1740";"1373";"1139";"814";"6759"
"150307 GARRAFAO DO NORTE";"1512";"1147";"1644";"1326";"685";"1190";"1213";"1624";"1201";"1383";"12925"
"150309 GOIANESIA DO PARA";"0";"0";"993";"619";"676";"794";"705";"1510";"1411";"1315";"8023"
"150310 GURUPA";"0";"0";"0";"0";"320";"351";"815";"875";"760";"815";"3936"
"150320 IGARAPE-ACU";"2279";"1701";"1297";"2456";"966";"1461";"1418";"2738";"2589";"1791";"18696"
"150330 IGARAPE-MIRI";"1091";"796";"1013";"1871";"760";"1184";"1133";"1106";"1568";"1698";"12220"
"150340 INHANGAPI";"126";"192";"293";"336";"64";"114";"234";"302";"321";"242";"2224"
"150345 IPIXUNA DO PARA";"1103";"677";"672";"1138";"523";"870";"922";"1220";"982";"1290";"9397"
"150350 IRITUIA";"0";"0";"0";"408";"443";"650";"1051";"1472";"1146";"1137";"6307"
"150360 ITAITUBA";"1316";"2235";"3656";"3876";"1105";"1892";"6552";"7899";"9904";"8191";"46626"
"150370 ITUPIRANGA";"1032";"839";"1177";"1367";"624";"1081";"1334";"2712";"3008";"2526";"15700"
"150375 JACAREACANGA";"350";"741";"328";"599";"333";"278";"323";"225";"106";"611";"3894"
"150380 JACUNDA";"852";"947";"1939";"2791";"1025";"1469";"2048";"2813";"2498";"2785";"19167"
"150390 JURUTI";"463";"2080";"1226";"2055";"1613";"2027";"2254";"3301";"3048";"2506";"20573"
"150400 LIMOEIRO DO AJURU";"0";"223";"73";"0";"0";"83";"180";"788";"849";"777";"2973"
"150405 MAE DO RIO";"965";"300";"850";"914";"342";"871";"1376";"1713";"1382";"1722";"10435"
"150410 MAGALHAES BARATA";"0";"76";"196";"167";"163";"272";"262";"237";"219";"191";"1783"
"150420 MARABA";"4753";"4872";"7989";"9250";"5939";"7387";"9000";"11265";"10587";"8991";"80033"
"150430 MARACANA";"200";"1118";"924";"704";"378";"0";"388";"966";"509";"197";"5384"
"150440 MARAPANIM";"369";"397";"192";"31";"192";"0";"0";"632";"582";"620";"3015"
"150442 MARITUBA";"1780";"2514";"2404";"3520";"1668";"2429";"4125";"5377";"5215";"4469";"33501"
"150445 MEDICILANDIA";"471";"900";"734";"1004";"375";"719";"587";"734";"477";"465";"6466"
"150450 MELGACO";"62";"217";"254";"260";"266";"258";"85";"61";"33";"0";"1496"
"150460 MOCAJUBA";"247";"355";"305";"530";"219";"283";"351";"342";"636";"709";"3977"
"150470 MOJU";"848";"2324";"2163";"1944";"1413";"1577";"1627";"1348";"2043";"2068";"17355"
"150475 MOJUI DOS CAMPOS";"0";"0";"0";"0";"0";"582";"917";"1374";"1188";"1134";"5195"
"150480 MONTE ALEGRE";"2547";"285";"2996";"2793";"510";"766";"2389";"2445";"3978";"3209";"21918"
"150490 MUANA";"103";"152";"223";"314";"142";"300";"191";"604";"495";"763";"3287"
"150495 NOVA ESPERANCA DO PIRIA";"472";"888";"720";"1032";"765";"911";"717";"917";"786";"802";"8010"
"150497 NOVA IPIXUNA";"0";"321";"784";"780";"393";"1";"0";"297";"786";"880";"4242"
"150500 NOVA TIMBOTEUA";"569";"550";"512";"577";"258";"467";"387";"1006";"582";"718";"5626"
"150503 NOVO PROGRESSO";"940";"1156";"938";"2167";"800";"450";"1222";"2128";"1491";"1681";"12973"
"150506 NOVO REPARTIMENTO";"922";"503";"1491";"1126";"445";"878";"1070";"1263";"1518";"244";"9460"
"150510 OBIDOS";"1058";"2136";"721";"576";"1068";"896";"2104";"2110";"4755";"3848";"19272"
"150520 OEIRAS DO PARA";"420";"595";"753";"544";"449";"753";"842";"1258";"571";"571";"6756"
"150530 ORIXIMINA";"2172";"3240";"2935";"4241";"2185";"3080";"2366";"3318";"4073";"4485";"32095"
"150540 OUREM";"628";"975";"657";"577";"220";"814";"777";"790";"641";"957";"7036"
"150543 OURILANDIA DO NORTE";"1037";"952";"1231";"1069";"759";"905";"1215";"1016";"1734";"1377";"11295"
"150548 PACAJA";"673";"839";"1209";"828";"541";"1340";"1083";"1879";"1926";"1721";"12039"
"150549 PALESTINA DO PARA";"0";"0";"124";"300";"108";"146";"177";"176";"281";"378";"1690"
"150550 PARAGOMINAS";"5225";"4894";"6206";"5480";"3457";"4146";"4103";"4416";"5175";"5140";"48242"
"150553 PARAUAPEBAS";"1926";"2594";"5776";"4992";"2248";"6349";"10046";"7684";"9327";"8470";"59412"
"150555 PAU D\'ARCO";"31";"44";"320";"289";"134";"147";"234";"620";"479";"547";"2845"
"150560 PEIXE-BOI";"353";"300";"203";"321";"164";"239";"305";"279";"137";"246";"2547"
"150563 PICARRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"117";"117"
"150565 PLACAS";"620";"552";"498";"607";"291";"369";"663";"929";"703";"957";"6189"
"150570 PONTA DE PEDRAS";"318";"110";"286";"461";"0";"394";"837";"633";"469";"563";"4071"
"150580 PORTEL";"3141";"2188";"2006";"3247";"939";"1313";"1987";"3197";"3414";"3044";"24476"
"150590 PORTO DE MOZ";"856";"593";"1369";"1757";"468";"915";"1463";"1371";"1115";"827";"10734"
"150600 PRAINHA";"658";"1807";"1469";"2442";"1303";"1328";"1201";"2453";"2482";"2095";"17238"
"150610 PRIMAVERA";"954";"586";"523";"480";"390";"483";"536";"768";"587";"749";"6056"
"150611 QUATIPURU";"421";"609";"456";"530";"172";"517";"530";"637";"525";"705";"5102"
"150613 REDENCAO";"1725";"2027";"1547";"1238";"826";"1442";"4437";"4337";"4603";"3624";"25806"
"150616 RIO MARIA";"284";"204";"298";"53";"206";"415";"1246";"902";"554";"895";"5057"
"150618 RONDON DO PARA";"299";"1060";"2339";"1930";"844";"1297";"828";"1088";"1726";"1785";"13196"
"150619 RUROPOLIS";"274";"1342";"1337";"1259";"442";"937";"1245";"2043";"1962";"1914";"12755"
"150620 SALINOPOLIS";"2557";"2411";"2074";"2489";"1993";"2092";"2228";"2641";"1817";"2371";"22673"
"150630 SALVATERRA";"0";"0";"70";"24";"0";"244";"338";"447";"538";"679";"2340"
"150635 SANTA BARBARA DO PARA";"594";"889";"625";"521";"203";"510";"602";"1123";"953";"973";"6993"
"150640 SANTA CRUZ DO ARARI";"0";"0";"0";"0";"0";"0";"0";"0";"186";"208";"394"
"150650 SANTA IZABEL DO PARA";"0";"534";"738";"1178";"940";"1511";"1961";"3038";"2449";"2509";"14858"
"150655 SANTA LUZIA DO PARA";"662";"938";"299";"298";"165";"88";"0";"296";"1159";"1391";"5296"
"150658 SANTA MARIA DAS BARREIRAS";"453";"196";"352";"423";"282";"0";"1176";"1055";"569";"481";"4987"
"150660 SANTA MARIA DO PARA";"504";"207";"496";"382";"220";"41";"332";"247";"100";"775";"3304"
"150670 SANTANA DO ARAGUAIA";"949";"1070";"841";"1464";"780";"1456";"1451";"1649";"983";"966";"11609"
"150680 SANTAREM";"8354";"18739";"16092";"15031";"9654";"9216";"10399";"14053";"12785";"12552";"126875"
"150690 SANTAREM NOVO";"170";"325";"278";"268";"75";"89";"155";"157";"3";"41";"1561"
"150700 SANTO ANTONIO DO TAUA";"295";"333";"279";"478";"86";"22";"28";"9";"0";"0";"1530"
"150710 SAO CAETANO DE ODIVELAS";"1032";"522";"1450";"686";"15";"460";"899";"1104";"884";"1029";"8081"
"150715 SAO DOMINGOS DO ARAGUAIA";"0";"184";"523";"308";"0";"357";"498";"502";"474";"574";"3420"
"150720 SAO DOMINGOS DO CAPIM";"293";"208";"1115";"1601";"1434";"1878";"2021";"2044";"1537";"1511";"13642"
"150730 SAO FELIX DO XINGU";"331";"731";"764";"703";"740";"832";"1821";"1785";"1878";"3203";"12788"
"150740 SAO FRANCISCO DO PARA";"229";"618";"657";"1400";"802";"1184";"1157";"899";"840";"804";"8590"
"150745 SAO GERALDO DO ARAGUAIA";"0";"0";"0";"0";"2";"0";"0";"0";"586";"734";"1322"
"150746 SAO JOAO DA PONTA";"270";"42";"71";"152";"53";"182";"95";"175";"140";"166";"1346"
"150747 SAO JOAO DE PIRABAS";"590";"1379";"996";"965";"260";"963";"829";"1217";"1118";"1278";"9595"
"150750 SAO JOAO DO ARAGUAIA";"113";"0";"0";"0";"0";"0";"0";"0";"0";"0";"113"
"150760 SAO MIGUEL DO GUAMA";"1843";"658";"661";"977";"404";"825";"1510";"1671";"2112";"1982";"12643"
"150770 SAO SEBASTIAO DA BOA VISTA";"321";"169";"123";"183";"87";"309";"98";"0";"154";"195";"1639"
"150775 SAPUCAIA";"17";"129";"29";"52";"23";"59";"299";"191";"216";"225";"1240"
"150780 SENADOR JOSE PORFIRIO";"502";"757";"630";"716";"49";"141";"217";"38";"186";"525";"3761"
"150790 SOURE";"0";"0";"472";"628";"63";"247";"423";"503";"651";"796";"3783"
"150795 TAILANDIA";"2484";"3724";"3621";"3513";"2095";"1718";"1289";"2429";"3558";"3743";"28174"
"150796 TERRA ALTA";"0";"468";"439";"539";"241";"100";"267";"358";"292";"391";"3095"
"150797 TERRA SANTA";"246";"529";"671";"702";"302";"809";"670";"1366";"1118";"1156";"7569"
"150800 TOME-ACU";"0";"0";"0";"0";"0";"0";"2038";"2950";"2517";"3718";"11223"
"150803 TRACUATEUA";"726";"73";"1159";"907";"457";"998";"911";"1426";"1650";"2033";"10340"
"150805 TRAIRAO";"181";"705";"964";"571";"331";"371";"995";"916";"977";"960";"6971"
"150808 TUCUMA";"754";"935";"1614";"1564";"683";"1067";"1616";"1816";"1345";"1676";"13070"
"150810 TUCURUI";"3084";"5461";"5896";"5570";"1988";"3203";"2879";"3515";"3873";"3851";"39320"
"150812 ULIANOPOLIS";"1195";"1006";"669";"794";"362";"1103";"1243";"1375";"1184";"1428";"10359"
"150815 URUARA";"1038";"1462";"1067";"923";"324";"492";"1326";"1219";"2801";"1405";"12057"
"150820 VIGIA";"31";"581";"1280";"1238";"537";"650";"693";"1269";"968";"978";"8225"
"150830 VISEU";"910";"887";"455";"1468";"681";"562";"809";"2113";"2282";"2090";"12257"
"150835 VITORIA DO XINGU";"941";"928";"388";"928";"595";"975";"1058";"1476";"1525";"1206";"10020"
"150840 XINGUARA";"1535";"2411";"1940";"2279";"1548";"2069";"1885";"3423";"2781";"3457";"23328"
"160030 MACAPA";"10101";"12787";"13651";"15784";"4652";"6987";"11094";"12428";"11294";"11065";"109843"
"160060 SANTANA";"0";"0";"0";"0";"0";"76";"2813";"6672";"4979";"4023";"18563"
"170025 ABREULANDIA";"2";"70";"76";"17";"30";"4";"32";"25";"45";"26";"327"
"170030 AGUIARNOPOLIS";"215";"182";"119";"93";"70";"88";"114";"223";"131";"115";"1350"
"170035 ALIANCA DO TOCANTINS";"130";"294";"173";"127";"185";"138";"215";"244";"200";"219";"1925"
"170040 ALMAS";"111";"119";"178";"14";"79";"0";"6";"0";"24";"36";"567"
"170070 ALVORADA";"350";"477";"567";"459";"302";"401";"321";"275";"252";"499";"3903"
"170100 ANANAS";"269";"216";"427";"185";"288";"0";"122";"351";"289";"264";"2411"
"170105 ANGICO";"60";"101";"105";"37";"33";"13";"59";"120";"79";"18";"625"
"170110 APARECIDA DO RIO NEGRO";"102";"170";"153";"49";"99";"51";"123";"77";"87";"40";"951"
"170130 ARAGOMINAS";"222";"267";"140";"60";"120";"52";"106";"67";"145";"35";"1214"
"170190 ARAGUACEMA";"350";"198";"191";"169";"262";"94";"268";"179";"45";"145";"1901"
"170200 ARAGUACU";"228";"173";"253";"218";"227";"316";"214";"575";"476";"384";"3064"
"170210 ARAGUAINA";"3768";"3445";"3693";"2058";"1979";"2449";"3626";"4753";"5061";"4511";"35343"
"170215 ARAGUANA";"207";"96";"249";"170";"125";"80";"35";"109";"119";"113";"1303"
"170220 ARAGUATINS";"745";"823";"315";"0";"0";"0";"93";"229";"153";"102";"2460"
"170230 ARAPOEMA";"313";"200";"108";"76";"155";"0";"42";"557";"432";"242";"2125"
"170240 ARRAIAS";"249";"179";"122";"35";"183";"2";"125";"145";"377";"176";"1593"
"170255 AUGUSTINOPOLIS";"363";"265";"255";"77";"164";"250";"103";"630";"625";"557";"3289"
"170270 AURORA DO TOCANTINS";"158";"185";"62";"46";"111";"116";"119";"16";"158";"108";"1079"
"170290 AXIXA DO TOCANTINS";"37";"84";"151";"19";"35";"100";"182";"334";"160";"296";"1398"
"170300 BABACULANDIA";"107";"170";"160";"64";"127";"80";"143";"345";"160";"193";"1549"
"170305 BANDEIRANTES DO TOCANTINS";"94";"15";"0";"3";"64";"0";"14";"64";"58";"61";"373"
"170307 BARRA DO OURO";"30";"42";"43";"8";"18";"0";"19";"68";"17";"12";"257"
"170310 BARROLANDIA";"214";"175";"207";"37";"173";"158";"193";"251";"179";"209";"1796"
"170320 BERNARDO SAYAO";"28";"103";"102";"35";"79";"18";"29";"82";"59";"38";"573"
