"Munic do un.saúde";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";" Total"
"431478 PONTE PRETA";"135";"155";"139";"133";"87";"78";"135";"165";"155";"149";"1331"
"431480 PORTAO";"2525";"2457";"2805";"2698";"1270";"2391";"2434";"2390";"2790";"2782";"24542"
"431490 PORTO ALEGRE";"382";"285";"275";"32801";"29145";"44612";"46730";"53870";"51467";"50650";"310217"
"431500 PORTO LUCENA";"337";"352";"293";"309";"191";"159";"277";"167";"211";"267";"2563"
"431505 PORTO MAUA";"197";"276";"120";"159";"66";"83";"104";"74";"75";"66";"1220"
"431507 PORTO VERA CRUZ";"126";"103";"107";"96";"103";"86";"146";"100";"135";"111";"1113"
"431510 PORTO XAVIER";"408";"526";"414";"357";"103";"487";"619";"386";"433";"353";"4086"
"431513 POUSO NOVO";"145";"102";"185";"173";"139";"104";"191";"163";"114";"115";"1431"
"431514 PRESIDENTE LUCENA";"351";"349";"285";"400";"333";"406";"344";"449";"366";"434";"3717"
"431515 PROGRESSO";"698";"534";"562";"624";"360";"379";"358";"473";"540";"327";"4855"
"431517 PROTASIO ALVES";"157";"182";"131";"132";"96";"87";"47";"79";"128";"91";"1130"
"431520 PUTINGA";"293";"197";"234";"354";"136";"224";"181";"198";"137";"115";"2069"
"431530 QUARAI";"0";"0";"0";"456";"358";"1089";"958";"1138";"1484";"1344";"6827"
"431531 QUATRO IRMAOS";"75";"216";"195";"161";"226";"142";"161";"121";"116";"122";"1535"
"431532 QUEVEDOS";"0";"123";"156";"151";"99";"169";"209";"226";"183";"175";"1491"
"431535 QUINZE DE NOVEMBRO";"319";"298";"302";"301";"122";"95";"296";"279";"294";"247";"2553"
"431540 REDENTORA";"663";"1111";"768";"880";"516";"517";"694";"742";"571";"619";"7081"
"431545 RELVADO";"255";"184";"195";"202";"142";"267";"177";"208";"153";"184";"1967"
"431550 RESTINGA SECA";"0";"1012";"756";"1017";"447";"729";"538";"764";"1003";"852";"7118"
"431555 RIO DOS INDIOS";"0";"0";"169";"307";"187";"247";"236";"213";"230";"226";"1815"
"431560 RIO GRANDE";"1879";"2649";"2346";"4609";"2921";"2952";"6216";"14537";"5769";"5761";"49639"
