,estado,municipio,valor_indicador,ano_mes,tipo_exame
124,CE,FARIAS BRITO,808,202012,Citopatologico
125,CE,GRANJEIRO,151,202012,Citopatologico
126,CE,JARDIM,680,202012,Citopatologico
127,CE,JATI,55,202012,Citopatologico
128,CE,JUAZEIRO DO NORTE,4492,202012,Citopatologico
129,CE,MAURITI,825,202012,Citopatologico
130,CE,MILAGRES,731,202012,Citopatologico
131,CE,MISSAO VELHA,463,202012,Citopatologico
132,CE,NOVA OLINDA,235,202012,Citopatologico
133,CE,PENAFORTE,127,202012,Citopatologico
134,CE,PORTEIRAS,953,202012,Citopatologico
135,CE,POTENGI,469,202012,Citopatologico
136,CE,SALITRE,486,202012,Citopatologico
137,CE,SANTANA DO CARIRI,381,202012,Citopatologico
138,CE,TARRAFAS,82,202012,Citopatologico
139,CE,VARZEA ALEGRE,2074,202012,Citopatologico
140,CE,ABAIARA,498,202112,Citopatologico
141,CE,ALTANEIRA,45,202112,Citopatologico
142,CE,ANTONINA DO NORTE,285,202112,Citopatologico
143,CE,ARARIPE,898,202112,Citopatologico
144,CE,ASSARE,993,202112,Citopatologico
145,CE,AURORA,812,202112,Citopatologico
146,CE,BARBALHA,2942,202112,Citopatologico
147,CE,BARRO,638,202112,Citopatologico
148,CE,BREJO SANTO,2264,202112,Citopatologico
149,CE,CAMPOS SALES,763,202112,Citopatologico
150,CE,CARIRIACU,1148,202112,Citopatologico
151,CE,CRATO,4530,202112,Citopatologico
152,CE,FARIAS BRITO,727,202112,Citopatologico
153,CE,GRANJEIRO,334,202112,Citopatologico
154,CE,JARDIM,663,202112,Citopatologico
155,CE,JATI,0,202112,Citopatologico
156,CE,JUAZEIRO DO NORTE,7086,202112,Citopatologico
157,CE,MAURITI,1741,202112,Citopatologico
158,CE,MILAGRES,1655,202112,Citopatologico
159,CE,MISSAO VELHA,813,202112,Citopatologico
160,CE,NOVA OLINDA,508,202112,Citopatologico
161,CE,PENAFORTE,231,202112,Citopatologico
162,CE,PORTEIRAS,1138,202112,Citopatologico
163,CE,POTENGI,797,202112,Citopatologico
164,CE,SALITRE,1555,202112,Citopatologico
165,CE,SANTANA DO CARIRI,618,202112,Citopatologico
166,CE,TARRAFAS,167,202112,Citopatologico
167,CE,VARZEA ALEGRE,751,202112,Citopatologico
168,CE,ABAIARA,728,202212,Citopatologico
169,CE,ALTANEIRA,0,202212,Citopatologico
170,CE,ANTONINA DO NORTE,399,202212,Citopatologico
171,CE,ARARIPE,1654,202212,Citopatologico
172,CE,ASSARE,1676,202212,Citopatologico
173,CE,AURORA,1162,202212,Citopatologico
174,CE,BARBALHA,2706,202212,Citopatologico
175,CE,BARRO,579,202212,Citopatologico
176,CE,BREJO SANTO,2790,202212,Citopatologico
177,CE,CAMPOS SALES,1461,202212,Citopatologico
178,CE,CARIRIACU,1075,202212,Citopatologico
179,CE,CRATO,4694,202212,Citopatologico
180,CE,FARIAS BRITO,1819,202212,Citopatologico
181,CE,GRANJEIRO,322,202212,Citopatologico
182,CE,JARDIM,1127,202212,Citopatologico
183,CE,JATI,0,202212,Citopatologico
184,CE,JUAZEIRO DO NORTE,9033,202212,Citopatologico
185,CE,MAURITI,2441,202212,Citopatologico
186,CE,MILAGRES,2165,202212,Citopatologico
187,CE,MISSAO VELHA,1558,202212,Citopatologico
188,CE,NOVA OLINDA,500,202212,Citopatologico
189,CE,PENAFORTE,431,202212,Citopatologico
190,CE,PORTEIRAS,1306,202212,Citopatologico
191,CE,POTENGI,682,202212,Citopatologico
192,CE,SALITRE,1113,202212,Citopatologico
193,CE,SANTANA DO CARIRI,1050,202212,Citopatologico
194,CE,TARRAFAS,100,202212,Citopatologico
195,CE,VARZEA ALEGRE,287,202212,Citopatologico
196,CE,ABAIARA,910,202312,Citopatologico
197,CE,ALTANEIRA,0,202312,Citopatologico
198,CE,ANTONINA DO NORTE,601,202312,Citopatologico
199,CE,ARARIPE,1617,202312,Citopatologico
200,CE,ASSARE,1403,202312,Citopatologico
201,CE,AURORA,1403,202312,Citopatologico
202,CE,BARBALHA,3245,202312,Citopatologico
203,CE,BARRO,1529,202312,Citopatologico
204,CE,BREJO SANTO,3714,202312,Citopatologico
205,CE,CAMPOS SALES,1319,202312,Citopatologico
206,CE,CARIRIACU,1956,202312,Citopatologico
207,CE,CRATO,7686,202312,Citopatologico
208,CE,FARIAS BRITO,1770,202312,Citopatologico
