,estado,municipio,valor_indicador,ano_mes,tipo_exame
130,CE,MILAGRES,117,202012,Mamografia
131,CE,MISSAO VELHA,279,202012,Mamografia
132,CE,NOVA OLINDA,0,202012,Mamografia
133,CE,PENAFORTE,74,202012,Mamografia
134,CE,PORTEIRAS,146,202012,Mamografia
135,CE,POTENGI,0,202012,Mamografia
136,CE,SALITRE,0,202012,Mamografia
137,CE,SANTANA DO CARIRI,0,202012,Mamografia
138,CE,TARRAFAS,0,202012,Mamografia
139,CE,VARZEA ALEGRE,0,202012,Mamografia
140,CE,ABAIARA,352,202112,Mamografia
141,CE,ALTANEIRA,0,202112,Mamografia
142,CE,ANTONINA DO NORTE,128,202112,Mamografia
143,CE,ARARIPE,229,202112,Mamografia
144,CE,ASSARE,50,202112,Mamografia
145,CE,AURORA,184,202112,Mamografia
146,CE,BARBALHA,2333,202112,Mamografia
147,CE,BARRO,367,202112,Mamografia
148,CE,BREJO SANTO,1051,202112,Mamografia
149,CE,CAMPOS SALES,658,202112,Mamografia
150,CE,CARIRIACU,138,202112,Mamografia
151,CE,CRATO,1929,202112,Mamografia
152,CE,FARIAS BRITO,0,202112,Mamografia
153,CE,GRANJEIRO,7,202112,Mamografia
154,CE,JARDIM,337,202112,Mamografia
155,CE,JATI,162,202112,Mamografia
156,CE,JUAZEIRO DO NORTE,3022,202112,Mamografia
157,CE,MAURITI,692,202112,Mamografia
158,CE,MILAGRES,340,202112,Mamografia
159,CE,MISSAO VELHA,122,202112,Mamografia
160,CE,NOVA OLINDA,0,202112,Mamografia
161,CE,PENAFORTE,133,202112,Mamografia
162,CE,PORTEIRAS,228,202112,Mamografia
163,CE,POTENGI,101,202112,Mamografia
164,CE,SALITRE,190,202112,Mamografia
165,CE,SANTANA DO CARIRI,0,202112,Mamografia
166,CE,TARRAFAS,0,202112,Mamografia
167,CE,VARZEA ALEGRE,356,202112,Mamografia
168,CE,ABAIARA,117,202212,Mamografia
169,CE,ALTANEIRA,91,202212,Mamografia
170,CE,ANTONINA DO NORTE,90,202212,Mamografia
171,CE,ARARIPE,183,202212,Mamografia
172,CE,ASSARE,119,202212,Mamografia
173,CE,AURORA,346,202212,Mamografia
174,CE,BARBALHA,1681,202212,Mamografia
175,CE,BARRO,171,202212,Mamografia
176,CE,BREJO SANTO,1075,202212,Mamografia
177,CE,CAMPOS SALES,227,202212,Mamografia
178,CE,CARIRIACU,123,202212,Mamografia
179,CE,CRATO,2294,202212,Mamografia
180,CE,FARIAS BRITO,213,202212,Mamografia
181,CE,GRANJEIRO,40,202212,Mamografia
182,CE,JARDIM,464,202212,Mamografia
183,CE,JATI,155,202212,Mamografia
184,CE,JUAZEIRO DO NORTE,4165,202212,Mamografia
185,CE,MAURITI,417,202212,Mamografia
186,CE,MILAGRES,403,202212,Mamografia
187,CE,MISSAO VELHA,550,202212,Mamografia
188,CE,NOVA OLINDA,181,202212,Mamografia
189,CE,PENAFORTE,104,202212,Mamografia
190,CE,PORTEIRAS,225,202212,Mamografia
191,CE,POTENGI,111,202212,Mamografia
192,CE,SALITRE,108,202212,Mamografia
193,CE,SANTANA DO CARIRI,238,202212,Mamografia
194,CE,TARRAFAS,82,202212,Mamografia
195,CE,VARZEA ALEGRE,368,202212,Mamografia
196,CE,ABAIARA,237,202312,Mamografia
197,CE,ALTANEIRA,152,202312,Mamografia
198,CE,ANTONINA DO NORTE,281,202312,Mamografia
199,CE,ARARIPE,702,202312,Mamografia
200,CE,ASSARE,395,202312,Mamografia
201,CE,AURORA,388,202312,Mamografia
