,estado,ano_mes,municipio,tipo_exame,valor_indicador
117,CE,201812,FARIAS BRITO,Citopatologico,1196.0
118,CE,201812,FARIAS BRITO,Mamografia,103.0
119,CE,201812,GRANJEIRO,Citopatologico,255.0
120,CE,201812,GRANJEIRO,Mamografia,144.0
121,CE,201812,JARDIM,Citopatologico,1851.0
122,CE,201812,JARDIM,Mamografia,190.0
123,CE,201812,JATI,Citopatologico,323.0
124,CE,201812,JATI,Mamografia,104.0
125,CE,201812,JUAZEIRO DO NORTE,Citopatologico,18757.0
126,CE,201812,JUAZEIRO DO NORTE,Mamografia,4496.0
127,CE,201812,MAURITI,Citopatologico,1770.0
128,CE,201812,MAURITI,Mamografia,194.0
129,CE,201812,MILAGRES,Citopatologico,1597.0
130,CE,201812,MILAGRES,Mamografia,325.0
131,CE,201812,MISSAO VELHA,Mamografia,215.0
132,CE,201812,NOVA OLINDA,Citopatologico,469.0
133,CE,201812,NOVA OLINDA,Mamografia,204.0
134,CE,201812,PENAFORTE,Citopatologico,333.0
135,CE,201812,PENAFORTE,Mamografia,77.0
136,CE,201812,PORTEIRAS,Citopatologico,1380.0
137,CE,201812,PORTEIRAS,Mamografia,147.0
138,CE,201812,POTENGI,Citopatologico,872.0
139,CE,201812,POTENGI,Mamografia,85.0
140,CE,201812,SALITRE,Citopatologico,787.0
141,CE,201812,SALITRE,Mamografia,39.0
142,CE,201812,SANTANA DO CARIRI,Citopatologico,328.0
143,CE,201812,SANTANA DO CARIRI,Mamografia,259.0
144,CE,201812,TARRAFAS,Citopatologico,298.0
145,CE,201812,TARRAFAS,Mamografia,23.0
146,CE,201812,VARZEA ALEGRE,Citopatologico,3152.0
147,CE,201812,VARZEA ALEGRE,Mamografia,465.0
148,CE,201912,ABAIARA,Citopatologico,972.0
149,CE,201912,ABAIARA,Mamografia,217.0
150,CE,201912,ALTANEIRA,Citopatologico,402.0
151,CE,201912,ALTANEIRA,Mamografia,6.0
152,CE,201912,ANTONINA DO NORTE,Citopatologico,208.0
153,CE,201912,ANTONINA DO NORTE,Mamografia,2.0
154,CE,201912,ARARIPE,Citopatologico,6.0
155,CE,201912,ARARIPE,Mamografia,2.0
156,CE,201912,ASSARE,Citopatologico,777.0
157,CE,201912,ASSARE,Mamografia,45.0
158,CE,201912,AURORA,Citopatologico,1834.0
159,CE,201912,AURORA,Mamografia,433.0
160,CE,201912,BARBALHA,Citopatologico,3006.0
161,CE,201912,BARBALHA,Mamografia,3142.0
162,CE,201912,BARRO,Citopatologico,771.0
163,CE,201912,BARRO,Mamografia,395.0
164,CE,201912,BREJO SANTO,Citopatologico,9276.0
165,CE,201912,BREJO SANTO,Mamografia,2099.0
166,CE,201912,CAMPOS SALES,Citopatologico,777.0
167,CE,201912,CAMPOS SALES,Mamografia,1.0
168,CE,201912,CARIRIACU,Citopatologico,1650.0
169,CE,201912,CARIRIACU,Mamografia,297.0
170,CE,201912,CRATO,Citopatologico,16217.0
171,CE,201912,CRATO,Mamografia,4.0
172,CE,201912,FARIAS BRITO,Citopatologico,1262.0
173,CE,201912,FARIAS BRITO,Mamografia,342.0
174,CE,201912,GRANJEIRO,Citopatologico,360.0
175,CE,201912,GRANJEIRO,Mamografia,52.0
176,CE,201912,JARDIM,Citopatologico,1573.0
177,CE,201912,JARDIM,Mamografia,540.0
178,CE,201912,JATI,Citopatologico,202.0
179,CE,201912,JATI,Mamografia,198.0
180,CE,201912,JUAZEIRO DO NORTE,Citopatologico,22083.0
181,CE,201912,JUAZEIRO DO NORTE,Mamografia,6710.0
182,CE,201912,MAURITI,Citopatologico,1493.0
183,CE,201912,MAURITI,Mamografia,391.0
184,CE,201912,MILAGRES,Citopatologico,1454.0
185,CE,201912,MILAGRES,Mamografia,664.0
186,CE,201912,MISSAO VELHA,Citopatologico,270.0
187,CE,201912,MISSAO VELHA,Mamografia,310.0
188,CE,201912,NOVA OLINDA,Citopatologico,549.0
189,CE,201912,PENAFORTE,Citopatologico,273.0
190,CE,201912,PENAFORTE,Mamografia,170.0
191,CE,201912,PORTEIRAS,Citopatologico,1169.0
192,CE,201912,PORTEIRAS,Mamografia,315.0
193,CE,201912,POTENGI,Citopatologico,547.0
194,CE,201912,SALITRE,Citopatologico,970.0
195,CE,201912,SANTANA DO CARIRI,Citopatologico,711.0
196,CE,201912,TARRAFAS,Citopatologico,141.0
